Player,Tm,PTS,Points_Running_Avg,player_points_line,Date,Place,Opp,TRB,AST,Rebounds_Running_Avg,Assists_Running_Avg,player_assists_line,player_rebounds_line
Jrue Holiday,BOS,7,13.143,13.5,2024-01-27,,LAC,3.0,4.0,6.095,4.619,4.5,5.5
Jrue Holiday,BOS,17,13.386,13.5,2024-01-30,,IND,5.0,4.0,6.0,4.545,4.5,4.5
Jaylen Brown,BOS,28,22.52,23.5,2023-12-19,Away,GSW,8.0,7.0,4.84,3.64,3.5,4.5
Jaylen Brown,BOS,24,22.778,26.5,2023-12-23,Away,LAC,6.0,2.0,4.889,3.667,3.5,5.5
Jaylen Brown,BOS,19,22.643,23.5,2023-12-25,Away,LAL,5.0,2.0,4.893,3.607,3.5,4.5
Jaylen Brown,BOS,24,22.967,23.5,2023-12-31,Away,SAS,6.0,3.0,5.1,3.667,3.5,5.5
Jaylen Brown,BOS,15,22.71,22.5,2024-01-02,Away,OKC,6.0,3.0,5.129,3.645,3.5,5.5
Jaylen Brown,BOS,13,22.406,23.5,2024-01-05,,UTA,3.0,5.0,5.062,3.688,3.5,5.5
Jaylen Brown,BOS,31,22.667,21.5,2024-01-06,Away,IND,4.0,1.0,5.03,3.606,3.5,5.5
Jaylen Brown,BOS,35,23.514,23.5,2024-01-10,,MIN,11.0,3.0,5.2,3.543,3.5,4.5
Jaylen Brown,BOS,32,23.378,23.5,2024-01-13,,HOU,6.0,2.0,5.189,3.486,3.5,5.5
Jaylen Brown,BOS,21,23.316,26.5,2024-01-17,,SAS,7.0,5.0,5.237,3.526,3.5,5.5
Jaylen Brown,BOS,13,23.051,24.5,2024-01-19,,DEN,2.0,1.0,5.154,3.462,2.5,5.5
Jaylen Brown,BOS,18,22.952,22.5,2024-01-25,Away,MIA,4.0,5.0,5.214,3.667,3.5,5.5
Jaylen Brown,BOS,8,22.605,23.5,2024-01-27,,LAC,6.0,2.0,5.233,3.628,3.5,4.5
Jaylen Brown,BOS,22,22.591,23.5,2024-01-29,,NOP,11.0,7.0,5.364,3.705,3.5,5.5
Jaylen Brown,BOS,25,22.644,22.5,2024-01-30,,IND,6.0,2.0,5.378,3.667,3.5,5.5
Derrick White,BOS,30,15.957,15.5,2023-12-19,Away,GSW,7.0,3.0,4.087,5.0,4.5,4.5
Derrick White,BOS,18,16.577,16.5,2023-12-25,Away,LAL,2.0,11.0,3.885,5.231,4.5,3.5
Derrick White,BOS,19,17.033,16.5,2024-01-02,Away,OKC,5.0,6.0,3.933,5.3,5.5,3.5
Derrick White,BOS,10,16.806,16.5,2024-01-05,,UTA,7.0,3.0,4.032,5.226,5.5,3.5
Derrick White,BOS,7,16.5,16.5,2024-01-06,Away,IND,5.0,2.0,4.062,5.125,4.5,3.5
Derrick White,BOS,13,15.694,12.5,2024-01-13,,HOU,3.0,5.0,4.0,5.028,4.5,3.5
Derrick White,BOS,24,16.079,12.5,2024-01-19,,DEN,3.0,5.0,3.921,4.921,4.5,3.5
Derrick White,BOS,15,15.927,14.5,2024-01-25,Away,MIA,6.0,6.0,4.146,4.805,4.5,3.5
Derrick White,BOS,2,15.595,15.5,2024-01-27,,LAC,2.0,2.0,4.095,4.738,4.5,3.5
Derrick White,BOS,24,15.818,15.5,2024-01-30,,IND,2.0,5.0,3.977,4.727,3.5,3.5
Al Horford,BOS,0,8.667,9.5,2024-01-27,,LAC,2.0,1.0,7.222,3.222,3.5,6.5
Mikal Bridges,BRK,15,21.667,21.5,2023-12-20,,NYK,5.0,2.0,5.444,3.704,3.5,4.5
Mikal Bridges,BRK,14,21.393,19.5,2023-12-22,,DEN,3.0,6.0,5.357,3.786,3.5,4.5
Mikal Bridges,BRK,29,21.655,21.5,2023-12-23,,DET,6.0,7.0,5.379,3.897,3.5,5.5
Mikal Bridges,BRK,21,21.633,22.5,2023-12-26,Away,DET,4.0,3.0,5.333,3.867,3.5,4.5
Mikal Bridges,BRK,6,21.129,22.5,2023-12-27,,MIL,3.0,1.0,5.258,3.774,3.5,4.5
Mikal Bridges,BRK,19,21.062,22.5,2023-12-29,Away,WAS,5.0,1.0,5.25,3.688,3.5,4.5
Mikal Bridges,BRK,22,21.091,22.5,2023-12-31,Away,OKC,7.0,7.0,5.303,3.788,3.5,5.5
Mikal Bridges,BRK,13,20.853,22.5,2024-01-02,Away,NOP,3.0,2.0,5.235,3.735,3.5,4.5
Mikal Bridges,BRK,17,20.583,20.5,2024-01-05,,OKC,8.0,3.0,5.278,3.694,3.5,4.5
Mikal Bridges,BRK,42,21.162,20.5,2024-01-07,,POR,4.0,3.0,5.243,3.676,3.5,5.5
Mikal Bridges,BRK,26,21.289,22.5,2024-01-11,Away,CLE,6.0,1.0,5.263,3.605,3.5,5.5
Mikal Bridges,BRK,26,21.41,22.5,2024-01-15,,MIA,9.0,6.0,5.359,3.667,3.5,5.5
Mikal Bridges,BRK,21,21.4,24.5,2024-01-17,Away,POR,4.0,4.0,5.325,3.675,3.5,5.5
Mikal Bridges,BRK,17,21.293,24.5,2024-01-19,Away,LAL,1.0,5.0,5.22,3.707,3.5,5.5
Mikal Bridges,BRK,26,21.405,22.5,2024-01-21,Away,LAC,6.0,5.0,5.238,3.738,3.5,4.5
Mikal Bridges,BRK,36,21.744,21.5,2024-01-23,,NYK,5.0,5.0,5.233,3.767,3.5,4.5
Mikal Bridges,BRK,21,21.727,22.5,2024-01-25,,MIN,1.0,3.0,5.136,3.75,3.5,4.5
Mikal Bridges,BRK,19,21.667,23.5,2024-01-27,,HOU,5.0,1.0,5.133,3.689,3.5,5.5
Mikal Bridges,BRK,33,21.913,22.5,2024-01-29,,UTA,3.0,4.0,5.087,3.696,3.5,4.5
Spencer Dinwiddie,BRK,10,14.769,16.5,2023-12-20,,NYK,2.0,2.0,4.077,6.769,8.5,4.5
Spencer Dinwiddie,BRK,6,14.444,14.5,2023-12-22,,DEN,1.0,3.0,3.963,6.63,7.5,3.5
Spencer Dinwiddie,BRK,14,14.429,14.5,2023-12-23,,DET,4.0,7.0,3.964,6.643,7.5,3.5
Spencer Dinwiddie,BRK,9,14.241,14.5,2023-12-26,Away,DET,5.0,6.0,4.0,6.621,6.5,3.5
Spencer Dinwiddie,BRK,17,14.333,14.5,2023-12-29,Away,WAS,8.0,6.0,4.133,6.6,7.5,3.5
Spencer Dinwiddie,BRK,13,14.29,14.5,2023-12-31,Away,OKC,3.0,5.0,4.097,6.548,6.5,3.5
Spencer Dinwiddie,BRK,0,13.844,14.5,2024-01-02,Away,NOP,0.0,5.0,3.969,6.5,6.5,3.5
Spencer Dinwiddie,BRK,23,14.029,13.5,2024-01-05,,OKC,3.0,4.0,3.853,6.382,5.5,3.5
Spencer Dinwiddie,BRK,5,13.771,14.5,2024-01-07,,POR,3.0,5.0,3.829,6.343,6.5,3.5
Spencer Dinwiddie,BRK,2,13.444,13.5,2024-01-11,Away,CLE,2.0,3.0,3.778,6.25,6.5,3.5
Spencer Dinwiddie,BRK,16,13.525,12.5,2024-01-21,Away,LAC,2.0,7.0,3.575,6.1,5.5,2.5
Spencer Dinwiddie,BRK,0,13.195,13.5,2024-01-23,,NYK,0.0,4.0,3.488,6.049,5.5,2.5
Spencer Dinwiddie,BRK,10,13.14,11.5,2024-01-27,,HOU,2.0,9.0,3.419,6.023,5.5,3.5
Spencer Dinwiddie,BRK,2,12.886,12.5,2024-01-29,,UTA,2.0,8.0,3.386,6.068,5.5,2.5
Dorian Finney-Smith,BRK,9,10.0,8.5,2024-01-07,,POR,5.0,2.0,5.261,1.478,,3.5
Dorian Finney-Smith,BRK,0,9.583,8.5,2024-01-11,Away,CLE,0.0,0.0,5.042,1.417,,4.5
Dorian Finney-Smith,BRK,0,8.75,8.5,2024-01-21,Away,LAC,9.0,0.0,5.214,1.357,,4.5
Dorian Finney-Smith,BRK,5,8.621,7.5,2024-01-23,,NYK,2.0,7.0,5.103,1.552,,4.5
Dorian Finney-Smith,BRK,19,8.935,9.5,2024-01-27,,HOU,7.0,3.0,5.065,1.613,,5.5
Cameron Johnson,BRK,20,14.25,13.5,2023-12-20,,NYK,4.0,2.0,5.25,2.6,2.5,4.5
Cameron Johnson,BRK,17,14.381,13.5,2023-12-22,,DEN,1.0,2.0,5.048,2.571,2.5,4.5
Cameron Johnson,BRK,18,14.545,14.5,2023-12-23,,DET,2.0,2.0,4.909,2.545,2.5,4.5
Cameron Johnson,BRK,24,14.957,14.5,2023-12-26,Away,DET,2.0,1.0,4.783,2.478,2.5,4.5
Cameron Johnson,BRK,16,15.0,15.5,2023-12-29,Away,WAS,7.0,3.0,4.875,2.5,2.5,4.5
Cameron Johnson,BRK,13,14.92,15.5,2023-12-31,Away,OKC,6.0,0.0,4.92,2.4,2.5,4.5
Cameron Johnson,BRK,17,15.0,14.5,2024-01-02,Away,NOP,4.0,2.0,4.885,2.385,2.5,4.5
Cameron Johnson,BRK,9,14.786,15.5,2024-01-05,,OKC,3.0,2.0,4.857,2.464,2.5,4.5
Cameron Johnson,BRK,17,14.862,15.5,2024-01-07,,POR,6.0,3.0,4.897,2.483,2.5,4.5
Cameron Johnson,BRK,3,14.467,15.5,2024-01-11,Away,CLE,2.0,1.0,4.8,2.433,2.5,5.5
Cameron Johnson,BRK,6,14.194,14.5,2024-01-15,,MIA,2.0,0.0,4.71,2.355,2.5,5.5
Cameron Johnson,BRK,10,14.03,13.5,2024-01-19,Away,LAL,4.0,5.0,4.636,2.515,2.5,3.5
Cameron Johnson,BRK,9,13.882,13.5,2024-01-21,Away,LAC,4.0,6.0,4.618,2.618,2.5,3.5
Cameron Johnson,BRK,19,14.029,12.5,2024-01-23,,NYK,5.0,2.0,4.629,2.6,2.5,3.5
Cameron Johnson,BRK,17,13.865,12.5,2024-01-29,,UTA,6.0,3.0,4.649,2.622,2.5,3.5
DeMar DeRozan,CHI,27,22.37,22.5,2023-12-20,,LAL,7.0,9.0,3.704,5.37,5.5,3.5
DeMar DeRozan,CHI,21,22.321,22.5,2023-12-21,,SAS,4.0,5.0,3.714,5.357,5.5,4.5
DeMar DeRozan,CHI,21,22.276,23.5,2023-12-23,,CLE,5.0,8.0,3.759,5.448,5.5,4.5
DeMar DeRozan,CHI,25,22.367,25.5,2023-12-26,,ATL,2.0,6.0,3.7,5.467,6.5,4.5
DeMar DeRozan,CHI,21,22.323,26.5,2023-12-28,,IND,5.0,5.0,3.742,5.452,6.5,4.5
DeMar DeRozan,CHI,24,22.375,24.5,2023-12-30,,PHI,6.0,5.0,3.812,5.438,5.5,4.5
DeMar DeRozan,CHI,16,22.182,23.5,2024-01-02,Away,PHI,4.0,3.0,3.818,5.364,5.5,4.5
DeMar DeRozan,CHI,18,22.083,20.5,2024-01-08,Away,CHO,7.0,7.0,3.806,5.389,4.5,4.5
DeMar DeRozan,CHI,19,22.0,19.5,2024-01-10,,HOU,4.0,4.0,3.811,5.351,5.5,4.5
DeMar DeRozan,CHI,39,22.447,20.5,2024-01-12,,GSW,7.0,5.0,3.895,5.342,4.5,3.5
DeMar DeRozan,CHI,6,21.975,20.5,2024-01-15,Away,CLE,6.0,3.0,3.95,5.25,4.5,4.5
DeMar DeRozan,CHI,24,22.024,20.5,2024-01-18,Away,TOR,7.0,6.0,4.024,5.268,4.5,4.5
DeMar DeRozan,CHI,18,21.929,24.5,2024-01-20,,MEM,4.0,8.0,4.024,5.333,5.5,4.5
DeMar DeRozan,CHI,21,21.907,22.5,2024-01-22,Away,PHO,5.0,3.0,4.047,5.279,5.5,3.5
DeMar DeRozan,CHI,32,22.136,22.5,2024-01-25,Away,LAL,2.0,10.0,4.0,5.386,5.5,4.5
DeMar DeRozan,CHI,20,22.089,25.5,2024-01-28,Away,POR,7.0,6.0,4.067,5.4,5.5,4.5
DeMar DeRozan,CHI,25,22.152,23.5,2024-01-30,,TOR,2.0,5.0,4.022,5.391,5.5,4.5
Coby White,CHI,17,17.483,22.5,2023-12-20,,LAL,7.0,5.0,4.069,4.897,5.5,4.5
Coby White,CHI,22,17.633,22.5,2023-12-21,,SAS,6.0,5.0,4.133,4.9,5.5,4.5
Coby White,CHI,17,17.613,21.5,2023-12-23,,CLE,4.0,7.0,4.129,4.968,5.5,4.5
Coby White,CHI,16,17.606,24.5,2023-12-28,,IND,5.0,2.0,4.182,4.879,5.5,5.5
Coby White,CHI,20,17.676,21.5,2023-12-30,,PHI,8.0,2.0,4.294,4.794,5.5,4.5
Coby White,CHI,14,17.571,22.5,2024-01-02,Away,PHI,4.0,3.0,4.286,4.743,4.5,4.5
Coby White,CHI,27,18.158,18.5,2024-01-08,Away,CHO,6.0,5.0,4.474,4.868,5.5,5.5
Coby White,CHI,30,18.462,19.5,2024-01-10,,HOU,4.0,8.0,4.462,4.949,4.5,4.5
Coby White,CHI,25,18.625,20.5,2024-01-12,,GSW,4.0,7.0,4.45,5.0,5.5,4.5
Coby White,CHI,18,18.524,18.5,2024-01-15,Away,CLE,4.0,3.0,4.381,4.929,4.5,4.5
Coby White,CHI,23,18.628,19.5,2024-01-18,Away,TOR,8.0,4.0,4.465,4.907,5.5,4.5
Coby White,CHI,17,18.591,22.5,2024-01-20,,MEM,5.0,5.0,4.477,4.909,5.5,5.5
Coby White,CHI,26,18.756,20.5,2024-01-22,Away,PHO,10.0,9.0,4.6,5.0,4.5,4.5
Coby White,CHI,25,18.891,21.5,2024-01-25,Away,LAL,7.0,3.0,4.652,4.957,5.5,5.5
Coby White,CHI,15,18.809,22.5,2024-01-28,Away,POR,5.0,9.0,4.66,5.043,4.5,5.5
Coby White,CHI,13,18.688,24.5,2024-01-30,,TOR,2.0,6.0,4.604,5.062,5.5,5.5
Zach LaVine,CHI,25,21.4,20.5,2024-01-12,,GSW,8.0,7.0,5.45,3.75,3.5,4.5
Zach LaVine,CHI,10,20.857,20.5,2024-01-13,Away,SAS,6.0,7.0,5.476,3.905,4.5,5.5
Zach LaVine,CHI,17,20.682,19.5,2024-01-15,Away,CLE,4.0,4.0,5.409,3.909,4.5,5.5
Zach LaVine,CHI,8,20.13,19.5,2024-01-18,Away,TOR,2.0,3.0,5.261,3.87,4.5,5.5
Patrick Williams,CHI,15,11.105,12.5,2023-12-20,,LAL,3.0,2.0,4.789,1.632,,5.5
Patrick Williams,CHI,13,11.524,12.5,2023-12-23,,CLE,2.0,2.0,4.619,1.667,,5.5
Patrick Williams,CHI,22,11.739,14.5,2023-12-28,,IND,5.0,3.0,4.478,1.652,,5.5
Patrick Williams,CHI,3,11.44,13.5,2024-01-02,Away,PHI,1.0,0.0,4.28,1.64,,4.5
Patrick Williams,CHI,6,11.1,10.5,2024-01-25,Away,LAL,6.0,2.0,4.367,1.567,,3.5
Alex Caruso,CHI,10,10.385,8.5,2023-12-23,,CLE,4.0,1.0,3.0,2.0,2.5,2.5
