Player,Tm,PTS,Points_Running_Avg,player_points_line,Date,Place,Opp
Pascal Siakam,TOR,25,22.09,21.5,2024-01-09,Away,LAL
Pascal Siakam,TOR,25,22.09,21.5,2024-01-09,Away,LAL
Pascal Siakam,TOR,25,22.09,21.5,2024-01-09,Away,LAL
Pascal Siakam,TOR,25,22.09,21.5,2024-01-09,Away,LAL
Pascal Siakam,TOR,25,22.09,21.5,2024-01-09,Away,LAL
Pascal Siakam,TOR,25,22.09,21.5,2024-01-09,Away,LAL
Pascal Siakam,TOR,25,22.09,21.5,2024-01-09,Away,LAL
Pascal Siakam,TOR,25,22.09,21.5,2024-01-09,Away,LAL
Pascal Siakam,TOR,25,22.09,21.5,2024-01-09,Away,LAL
Pascal Siakam,TOR,25,22.09,21.5,2024-01-09,Away,LAL
Pascal Siakam,TOR,25,22.09,21.5,2024-01-09,Away,LAL
Pascal Siakam,TOR,25,22.09,21.5,2024-01-09,Away,LAL
Pascal Siakam,TOR,25,22.09,21.5,2024-01-09,Away,LAL
Pascal Siakam,TOR,25,22.09,21.5,2024-01-09,Away,LAL
Pascal Siakam,TOR,25,22.09,21.5,2024-01-09,Away,LAL
Pascal Siakam,TOR,25,22.09,21.5,2024-01-09,Away,LAL
Pascal Siakam,TOR,25,22.09,21.5,2024-01-09,Away,LAL
Pascal Siakam,TOR,25,22.09,21.5,2024-01-09,Away,LAL
Pascal Siakam,TOR,25,22.09,21.5,2024-01-09,Away,LAL
Pascal Siakam,TOR,25,22.09,21.5,2024-01-09,Away,LAL
Pascal Siakam,TOR,25,22.09,21.5,2024-01-09,Away,LAL
Pascal Siakam,TOR,25,22.09,21.5,2024-01-09,Away,LAL
Pascal Siakam,TOR,25,22.09,21.5,2024-01-09,Away,LAL
Pascal Siakam,TOR,25,22.09,21.5,2024-01-09,Away,LAL
Pascal Siakam,TOR,25,22.09,21.5,2024-01-09,Away,LAL
Pascal Siakam,TOR,17,22.179,21.5,2024-01-15,,BOS
Pascal Siakam,TOR,17,22.179,21.5,2024-01-15,,BOS
Pascal Siakam,TOR,17,22.179,21.5,2024-01-15,,BOS
Pascal Siakam,TOR,17,22.179,21.5,2024-01-15,,BOS
Pascal Siakam,TOR,17,22.179,21.5,2024-01-15,,BOS
Pascal Siakam,TOR,17,22.179,21.5,2024-01-15,,BOS
Pascal Siakam,TOR,17,22.179,21.5,2024-01-15,,BOS
Pascal Siakam,TOR,17,22.179,21.5,2024-01-15,,BOS
Pascal Siakam,TOR,17,22.179,21.5,2024-01-15,,BOS
Pascal Siakam,TOR,17,22.179,21.5,2024-01-15,,BOS
Pascal Siakam,TOR,17,22.179,21.5,2024-01-15,,BOS
Pascal Siakam,TOR,17,22.179,21.5,2024-01-15,,BOS
Pascal Siakam,TOR,17,22.179,21.5,2024-01-15,,BOS
Pascal Siakam,TOR,17,22.179,21.5,2024-01-15,,BOS
Pascal Siakam,TOR,17,22.179,21.5,2024-01-15,,BOS
Pascal Siakam,TOR,17,22.179,21.5,2024-01-15,,BOS
Pascal Siakam,TOR,17,22.179,21.5,2024-01-15,,BOS
Pascal Siakam,TOR,17,22.179,21.5,2024-01-15,,BOS
Pascal Siakam,TOR,17,22.179,21.5,2024-01-15,,BOS
Pascal Siakam,TOR,17,22.179,21.5,2024-01-15,,BOS
Pascal Siakam,TOR,17,22.179,21.5,2024-01-15,,BOS
Pascal Siakam,TOR,17,22.179,21.5,2024-01-15,,BOS
Pascal Siakam,TOR,17,22.179,21.5,2024-01-15,,BOS
Pascal Siakam,TOR,17,22.179,21.5,2024-01-15,,BOS
Pascal Siakam,TOR,17,22.179,21.5,2024-01-15,,BOS
Pascal Siakam,TOR,17,22.179,21.5,2024-01-15,,BOS
Pascal Siakam,TOR,17,22.179,21.5,2024-01-15,,BOS
Pascal Siakam,TOR,17,22.179,21.5,2024-01-15,,BOS
Pascal Siakam,TOR,17,22.179,21.5,2024-01-15,,BOS
Pascal Siakam,TOR,17,22.179,21.5,2024-01-15,,BOS
Pascal Siakam,TOR,17,22.179,21.5,2024-01-15,,BOS
Pascal Siakam,TOR,17,22.179,21.5,2024-01-15,,BOS
Pascal Siakam,TOR,17,22.088,21.5,2024-01-15,,BOS
Pascal Siakam,TOR,17,22.088,21.5,2024-01-15,,BOS
Pascal Siakam,TOR,17,22.088,21.5,2024-01-15,,BOS
Pascal Siakam,TOR,17,22.088,21.5,2024-01-15,,BOS
Pascal Siakam,TOR,17,22.088,21.5,2024-01-15,,BOS
Pascal Siakam,TOR,17,22.088,21.5,2024-01-15,,BOS
Pascal Siakam,TOR,17,22.088,21.5,2024-01-15,,BOS
Pascal Siakam,TOR,17,22.088,21.5,2024-01-15,,BOS
Pascal Siakam,TOR,17,22.088,21.5,2024-01-15,,BOS
Pascal Siakam,TOR,17,22.088,21.5,2024-01-15,,BOS
Pascal Siakam,TOR,17,22.088,21.5,2024-01-15,,BOS
Pascal Siakam,TOR,17,22.088,21.5,2024-01-15,,BOS
Pascal Siakam,TOR,17,22.088,21.5,2024-01-15,,BOS
Pascal Siakam,TOR,17,22.088,21.5,2024-01-15,,BOS
Pascal Siakam,TOR,17,22.088,21.5,2024-01-15,,BOS
Pascal Siakam,TOR,17,22.088,21.5,2024-01-15,,BOS
Pascal Siakam,TOR,17,22.088,21.5,2024-01-15,,BOS
Pascal Siakam,TOR,17,22.088,21.5,2024-01-15,,BOS
Pascal Siakam,TOR,17,22.088,21.5,2024-01-15,,BOS
Pascal Siakam,TOR,17,22.088,21.5,2024-01-15,,BOS
Pascal Siakam,TOR,17,22.088,21.5,2024-01-15,,BOS
Pascal Siakam,TOR,17,22.088,21.5,2024-01-15,,BOS
Pascal Siakam,TOR,17,22.088,21.5,2024-01-15,,BOS
Pascal Siakam,TOR,17,22.088,21.5,2024-01-15,,BOS
Pascal Siakam,TOR,17,22.088,21.5,2024-01-15,,BOS
Pascal Siakam,TOR,17,22.088,21.5,2024-01-15,,BOS
Pascal Siakam,TOR,17,22.088,21.5,2024-01-15,,BOS
Pascal Siakam,TOR,17,22.088,21.5,2024-01-15,,BOS
Pascal Siakam,TOR,17,22.088,21.5,2024-01-15,,BOS
Pascal Siakam,TOR,17,22.088,21.5,2024-01-15,,BOS
Pascal Siakam,TOR,17,22.088,21.5,2024-01-15,,BOS
Pascal Siakam,TOR,17,22.088,21.5,2024-01-15,,BOS
Pascal Siakam,IND,26,21.93,20.5,2024-01-25,,PHI
Pascal Siakam,IND,26,21.93,20.5,2024-01-25,,PHI
Pascal Siakam,IND,26,21.93,20.5,2024-01-25,,PHI
Pascal Siakam,IND,26,21.93,20.5,2024-01-25,,PHI
Pascal Siakam,IND,26,21.93,20.5,2024-01-25,,PHI
Pascal Siakam,IND,26,21.93,20.5,2024-01-25,,PHI
Pascal Siakam,IND,26,21.93,20.5,2024-01-25,,PHI
Pascal Siakam,IND,26,21.93,20.5,2024-01-25,,PHI
Pascal Siakam,IND,26,21.93,20.5,2024-01-25,,PHI
Pascal Siakam,IND,26,21.93,20.5,2024-01-25,,PHI
Pascal Siakam,IND,26,21.93,20.5,2024-01-25,,PHI
Pascal Siakam,IND,26,21.93,20.5,2024-01-25,,PHI
Pascal Siakam,IND,26,21.93,20.5,2024-01-25,,PHI
Pascal Siakam,IND,26,21.93,20.5,2024-01-25,,PHI
Pascal Siakam,IND,26,21.93,20.5,2024-01-25,,PHI
Pascal Siakam,IND,26,21.93,20.5,2024-01-25,,PHI
Pascal Siakam,IND,26,21.93,20.5,2024-01-25,,PHI
Pascal Siakam,IND,26,21.93,20.5,2024-01-25,,PHI
Pascal Siakam,IND,26,21.93,20.5,2024-01-25,,PHI
Pascal Siakam,IND,26,21.93,20.5,2024-01-25,,PHI
Pascal Siakam,IND,26,21.93,20.5,2024-01-25,,PHI
Pascal Siakam,IND,26,21.93,20.5,2024-01-25,,PHI
Pascal Siakam,IND,26,21.93,20.5,2024-01-25,,PHI
Pascal Siakam,IND,26,21.93,20.5,2024-01-25,,PHI
Pascal Siakam,IND,26,21.93,20.5,2024-01-25,,PHI
Pascal Siakam,IND,26,21.93,20.5,2024-01-25,,PHI
Pascal Siakam,IND,26,21.93,20.5,2024-01-25,,PHI
Pascal Siakam,IND,26,21.93,20.5,2024-01-25,,PHI
Pascal Siakam,IND,26,21.93,20.5,2024-01-25,,PHI
Pascal Siakam,IND,26,21.93,20.5,2024-01-25,,PHI
Pascal Siakam,IND,26,21.93,20.5,2024-01-25,,PHI
Pascal Siakam,IND,26,21.93,20.5,2024-01-25,,PHI
Pascal Siakam,IND,26,21.979,20.5,2024-01-25,,PHI
Pascal Siakam,IND,26,21.979,20.5,2024-01-25,,PHI
Pascal Siakam,IND,26,21.979,20.5,2024-01-25,,PHI
Pascal Siakam,IND,26,21.979,20.5,2024-01-25,,PHI
Pascal Siakam,IND,26,21.979,20.5,2024-01-25,,PHI
Pascal Siakam,IND,26,21.979,20.5,2024-01-25,,PHI
Pascal Siakam,IND,26,21.979,20.5,2024-01-25,,PHI
Pascal Siakam,IND,26,21.979,20.5,2024-01-25,,PHI
Pascal Siakam,IND,26,21.979,20.5,2024-01-25,,PHI
Pascal Siakam,IND,26,21.979,20.5,2024-01-25,,PHI
Pascal Siakam,IND,26,21.979,20.5,2024-01-25,,PHI
Pascal Siakam,IND,26,21.979,20.5,2024-01-25,,PHI
Pascal Siakam,IND,26,21.979,20.5,2024-01-25,,PHI
Pascal Siakam,IND,26,21.979,20.5,2024-01-25,,PHI
Pascal Siakam,IND,26,21.979,20.5,2024-01-25,,PHI
Pascal Siakam,IND,26,21.979,20.5,2024-01-25,,PHI
Pascal Siakam,IND,26,21.979,20.5,2024-01-25,,PHI
Pascal Siakam,IND,26,21.979,20.5,2024-01-25,,PHI
Pascal Siakam,IND,26,21.979,20.5,2024-01-25,,PHI
Pascal Siakam,IND,26,21.979,20.5,2024-01-25,,PHI
Pascal Siakam,IND,26,21.979,20.5,2024-01-25,,PHI
Pascal Siakam,IND,26,21.979,20.5,2024-01-25,,PHI
Pascal Siakam,IND,26,21.979,20.5,2024-01-25,,PHI
Pascal Siakam,IND,26,21.979,20.5,2024-01-25,,PHI
Pascal Siakam,IND,26,21.979,20.5,2024-01-25,,PHI
Pascal Siakam,IND,26,21.979,20.5,2024-01-25,,PHI
Pascal Siakam,IND,26,21.979,20.5,2024-01-25,,PHI
Pascal Siakam,IND,26,21.979,20.5,2024-01-25,,PHI
Pascal Siakam,IND,26,21.979,20.5,2024-01-25,,PHI
Pascal Siakam,IND,26,21.979,20.5,2024-01-25,,PHI
Pascal Siakam,IND,26,21.979,20.5,2024-01-25,,PHI
Pascal Siakam,IND,26,21.979,20.5,2024-01-25,,PHI
Pascal Siakam,IND,31,22.136,20.5,2024-01-26,,PHO
Pascal Siakam,IND,31,22.136,20.5,2024-01-26,,PHO
Pascal Siakam,IND,31,22.136,20.5,2024-01-26,,PHO
Pascal Siakam,IND,31,22.136,20.5,2024-01-26,,PHO
Pascal Siakam,IND,31,22.136,20.5,2024-01-26,,PHO
Pascal Siakam,IND,31,22.136,20.5,2024-01-26,,PHO
Pascal Siakam,IND,31,22.136,20.5,2024-01-26,,PHO
Pascal Siakam,IND,31,22.136,20.5,2024-01-26,,PHO
Pascal Siakam,IND,31,22.136,20.5,2024-01-26,,PHO
Pascal Siakam,IND,31,22.136,20.5,2024-01-26,,PHO
Pascal Siakam,IND,31,22.136,20.5,2024-01-26,,PHO
Pascal Siakam,IND,31,22.136,20.5,2024-01-26,,PHO
Pascal Siakam,IND,31,22.136,20.5,2024-01-26,,PHO
Pascal Siakam,IND,31,22.136,20.5,2024-01-26,,PHO
Pascal Siakam,IND,31,22.136,20.5,2024-01-26,,PHO
Pascal Siakam,IND,31,22.136,20.5,2024-01-26,,PHO
Pascal Siakam,IND,31,22.136,20.5,2024-01-26,,PHO
Pascal Siakam,IND,31,22.136,20.5,2024-01-26,,PHO
Pascal Siakam,IND,31,22.136,20.5,2024-01-26,,PHO
Pascal Siakam,IND,31,22.136,20.5,2024-01-26,,PHO
Pascal Siakam,IND,31,22.136,20.5,2024-01-26,,PHO
Pascal Siakam,IND,31,22.136,20.5,2024-01-26,,PHO
Pascal Siakam,IND,31,22.136,20.5,2024-01-26,,PHO
Pascal Siakam,IND,31,22.136,20.5,2024-01-26,,PHO
Pascal Siakam,IND,31,22.136,20.5,2024-01-26,,PHO
Pascal Siakam,IND,31,22.136,20.5,2024-01-26,,PHO
Pascal Siakam,IND,31,22.136,20.5,2024-01-26,,PHO
Pascal Siakam,IND,31,22.136,20.5,2024-01-26,,PHO
Pascal Siakam,IND,31,22.136,20.5,2024-01-26,,PHO
Pascal Siakam,IND,31,22.136,20.5,2024-01-26,,PHO
Pascal Siakam,IND,31,22.136,20.5,2024-01-26,,PHO
Pascal Siakam,IND,31,22.136,20.5,2024-01-26,,PHO
Pascal Siakam,IND,31,22.073,20.5,2024-01-26,,PHO
Pascal Siakam,IND,31,22.073,20.5,2024-01-26,,PHO
Pascal Siakam,IND,31,22.073,20.5,2024-01-26,,PHO
Pascal Siakam,IND,31,22.073,20.5,2024-01-26,,PHO
Pascal Siakam,IND,31,22.073,20.5,2024-01-26,,PHO
Pascal Siakam,IND,31,22.073,20.5,2024-01-26,,PHO
Pascal Siakam,IND,31,22.073,20.5,2024-01-26,,PHO
Pascal Siakam,IND,31,22.073,20.5,2024-01-26,,PHO
Pascal Siakam,IND,31,22.073,20.5,2024-01-26,,PHO
Pascal Siakam,IND,31,22.073,20.5,2024-01-26,,PHO
Pascal Siakam,IND,31,22.073,20.5,2024-01-26,,PHO
Pascal Siakam,IND,31,22.073,20.5,2024-01-26,,PHO
Pascal Siakam,IND,31,22.073,20.5,2024-01-26,,PHO
Pascal Siakam,IND,31,22.073,20.5,2024-01-26,,PHO
Pascal Siakam,IND,31,22.073,20.5,2024-01-26,,PHO
Pascal Siakam,IND,31,22.073,20.5,2024-01-26,,PHO
Pascal Siakam,IND,31,22.073,20.5,2024-01-26,,PHO
Pascal Siakam,IND,31,22.073,20.5,2024-01-26,,PHO
Pascal Siakam,IND,31,22.073,20.5,2024-01-26,,PHO
Pascal Siakam,IND,31,22.073,20.5,2024-01-26,,PHO
Pascal Siakam,IND,31,22.073,20.5,2024-01-26,,PHO
Pascal Siakam,IND,31,22.073,20.5,2024-01-26,,PHO
Pascal Siakam,IND,31,22.073,20.5,2024-01-26,,PHO
Pascal Siakam,IND,31,22.073,20.5,2024-01-26,,PHO
Pascal Siakam,IND,31,22.073,20.5,2024-01-26,,PHO
Pascal Siakam,IND,31,22.073,20.5,2024-01-26,,PHO
Pascal Siakam,IND,31,22.073,20.5,2024-01-26,,PHO
Pascal Siakam,IND,31,22.073,20.5,2024-01-26,,PHO
Pascal Siakam,IND,31,22.073,20.5,2024-01-26,,PHO
Pascal Siakam,IND,31,22.073,20.5,2024-01-26,,PHO
Pascal Siakam,IND,31,22.073,20.5,2024-01-26,,PHO
Pascal Siakam,IND,31,22.073,20.5,2024-01-26,,PHO
Pascal Siakam,IND,19,22.067,22.5,2024-01-28,,MEM
Pascal Siakam,IND,19,22.067,22.5,2024-01-28,,MEM
Pascal Siakam,IND,19,22.067,22.5,2024-01-28,,MEM
Pascal Siakam,IND,19,22.067,22.5,2024-01-28,,MEM
Pascal Siakam,IND,19,22.067,22.5,2024-01-28,,MEM
Pascal Siakam,IND,19,22.067,22.5,2024-01-28,,MEM
Pascal Siakam,IND,19,22.067,22.5,2024-01-28,,MEM
Pascal Siakam,IND,19,22.067,22.5,2024-01-28,,MEM
Pascal Siakam,IND,19,22.067,22.5,2024-01-28,,MEM
Pascal Siakam,IND,19,22.067,22.5,2024-01-28,,MEM
Pascal Siakam,IND,19,22.067,22.5,2024-01-28,,MEM
Pascal Siakam,IND,19,22.067,22.5,2024-01-28,,MEM
Pascal Siakam,IND,19,22.067,22.5,2024-01-28,,MEM
Pascal Siakam,IND,19,22.067,22.5,2024-01-28,,MEM
Pascal Siakam,IND,19,22.067,22.5,2024-01-28,,MEM
Pascal Siakam,IND,19,22.067,22.5,2024-01-28,,MEM
Pascal Siakam,IND,19,22.067,22.5,2024-01-28,,MEM
Pascal Siakam,IND,19,22.067,22.5,2024-01-28,,MEM
Pascal Siakam,IND,19,22.067,22.5,2024-01-28,,MEM
Pascal Siakam,IND,19,22.067,22.5,2024-01-28,,MEM
Pascal Siakam,IND,19,22.067,22.5,2024-01-28,,MEM
Pascal Siakam,IND,19,22.067,22.5,2024-01-28,,MEM
Pascal Siakam,IND,19,22.067,22.5,2024-01-28,,MEM
Pascal Siakam,IND,19,22.067,22.5,2024-01-28,,MEM
Pascal Siakam,IND,19,22.067,22.5,2024-01-28,,MEM
Pascal Siakam,IND,19,22.067,22.5,2024-01-28,,MEM
Pascal Siakam,IND,19,22.067,22.5,2024-01-28,,MEM
Pascal Siakam,IND,19,22.067,22.5,2024-01-28,,MEM
Pascal Siakam,IND,19,22.067,22.5,2024-01-28,,MEM
Pascal Siakam,IND,19,22.067,22.5,2024-01-28,,MEM
Pascal Siakam,IND,19,22.067,22.5,2024-01-28,,MEM
Pascal Siakam,IND,19,22.067,22.5,2024-01-28,,MEM
Pascal Siakam,IND,19,22.041,22.5,2024-01-28,,MEM
Pascal Siakam,IND,19,22.041,22.5,2024-01-28,,MEM
Pascal Siakam,IND,19,22.041,22.5,2024-01-28,,MEM
Pascal Siakam,IND,19,22.041,22.5,2024-01-28,,MEM
Pascal Siakam,IND,19,22.041,22.5,2024-01-28,,MEM
Pascal Siakam,IND,19,22.041,22.5,2024-01-28,,MEM
Pascal Siakam,IND,19,22.041,22.5,2024-01-28,,MEM
Pascal Siakam,IND,19,22.041,22.5,2024-01-28,,MEM
Pascal Siakam,IND,19,22.041,22.5,2024-01-28,,MEM
Pascal Siakam,IND,19,22.041,22.5,2024-01-28,,MEM
Pascal Siakam,IND,19,22.041,22.5,2024-01-28,,MEM
Pascal Siakam,IND,19,22.041,22.5,2024-01-28,,MEM
Pascal Siakam,IND,19,22.041,22.5,2024-01-28,,MEM
Pascal Siakam,IND,19,22.041,22.5,2024-01-28,,MEM
Pascal Siakam,IND,19,22.041,22.5,2024-01-28,,MEM
Pascal Siakam,IND,19,22.041,22.5,2024-01-28,,MEM
Pascal Siakam,IND,19,22.041,22.5,2024-01-28,,MEM
Pascal Siakam,IND,19,22.041,22.5,2024-01-28,,MEM
Pascal Siakam,IND,19,22.041,22.5,2024-01-28,,MEM
Pascal Siakam,IND,19,22.041,22.5,2024-01-28,,MEM
Pascal Siakam,IND,19,22.041,22.5,2024-01-28,,MEM
Pascal Siakam,IND,19,22.041,22.5,2024-01-28,,MEM
Pascal Siakam,IND,19,22.041,22.5,2024-01-28,,MEM
Pascal Siakam,IND,19,22.041,22.5,2024-01-28,,MEM
Pascal Siakam,IND,19,22.041,22.5,2024-01-28,,MEM
Pascal Siakam,IND,19,22.041,22.5,2024-01-28,,MEM
Pascal Siakam,IND,19,22.041,22.5,2024-01-28,,MEM
Pascal Siakam,IND,19,22.041,22.5,2024-01-28,,MEM
Pascal Siakam,IND,19,22.041,22.5,2024-01-28,,MEM
Pascal Siakam,IND,19,22.041,22.5,2024-01-28,,MEM
Pascal Siakam,IND,19,22.041,22.5,2024-01-28,,MEM
Pascal Siakam,IND,19,22.041,22.5,2024-01-28,,MEM
Pascal Siakam,IND,23,22.087,18.5,2024-01-30,Away,BOS
Pascal Siakam,IND,23,22.087,18.5,2024-01-30,Away,BOS
Pascal Siakam,IND,23,22.087,18.5,2024-01-30,Away,BOS
Pascal Siakam,IND,23,22.087,18.5,2024-01-30,Away,BOS
Pascal Siakam,IND,23,22.087,18.5,2024-01-30,Away,BOS
Pascal Siakam,IND,23,22.087,18.5,2024-01-30,Away,BOS
Pascal Siakam,IND,23,22.087,18.5,2024-01-30,Away,BOS
Pascal Siakam,IND,23,22.087,18.5,2024-01-30,Away,BOS
Pascal Siakam,IND,23,22.087,18.5,2024-01-30,Away,BOS
Pascal Siakam,IND,23,22.087,18.5,2024-01-30,Away,BOS
Pascal Siakam,IND,23,22.087,18.5,2024-01-30,Away,BOS
Pascal Siakam,IND,23,22.087,18.5,2024-01-30,Away,BOS
Pascal Siakam,IND,23,22.087,18.5,2024-01-30,Away,BOS
Pascal Siakam,IND,23,22.087,18.5,2024-01-30,Away,BOS
Pascal Siakam,IND,23,22.087,18.5,2024-01-30,Away,BOS
Pascal Siakam,IND,23,22.087,18.5,2024-01-30,Away,BOS
Pascal Siakam,IND,23,22.087,18.5,2024-01-30,Away,BOS
Pascal Siakam,IND,23,22.087,18.5,2024-01-30,Away,BOS
Pascal Siakam,IND,23,22.087,18.5,2024-01-30,Away,BOS
Pascal Siakam,IND,23,22.087,18.5,2024-01-30,Away,BOS
Pascal Siakam,IND,23,22.087,18.5,2024-01-30,Away,BOS
Pascal Siakam,IND,23,22.087,18.5,2024-01-30,Away,BOS
Pascal Siakam,IND,23,22.087,18.5,2024-01-30,Away,BOS
Pascal Siakam,IND,23,22.087,18.5,2024-01-30,Away,BOS
Pascal Siakam,IND,23,22.087,18.5,2024-01-30,Away,BOS
Pascal Siakam,IND,23,22.087,18.5,2024-01-30,Away,BOS
Pascal Siakam,IND,23,22.087,18.5,2024-01-30,Away,BOS
Pascal Siakam,IND,23,22.087,18.5,2024-01-30,Away,BOS
Pascal Siakam,IND,23,22.087,18.5,2024-01-30,Away,BOS
Pascal Siakam,IND,23,22.087,18.5,2024-01-30,Away,BOS
Pascal Siakam,IND,23,22.087,18.5,2024-01-30,Away,BOS
Pascal Siakam,IND,23,22.087,18.5,2024-01-30,Away,BOS
Pascal Siakam,IND,23,22.051,18.5,2024-01-30,Away,BOS
Pascal Siakam,IND,23,22.051,18.5,2024-01-30,Away,BOS
Pascal Siakam,IND,23,22.051,18.5,2024-01-30,Away,BOS
Pascal Siakam,IND,23,22.051,18.5,2024-01-30,Away,BOS
Pascal Siakam,IND,23,22.051,18.5,2024-01-30,Away,BOS
Pascal Siakam,IND,23,22.051,18.5,2024-01-30,Away,BOS
Pascal Siakam,IND,23,22.051,18.5,2024-01-30,Away,BOS
Pascal Siakam,IND,23,22.051,18.5,2024-01-30,Away,BOS
Pascal Siakam,IND,23,22.051,18.5,2024-01-30,Away,BOS
Pascal Siakam,IND,23,22.051,18.5,2024-01-30,Away,BOS
Pascal Siakam,IND,23,22.051,18.5,2024-01-30,Away,BOS
Pascal Siakam,IND,23,22.051,18.5,2024-01-30,Away,BOS
Pascal Siakam,IND,23,22.051,18.5,2024-01-30,Away,BOS
Pascal Siakam,IND,23,22.051,18.5,2024-01-30,Away,BOS
Pascal Siakam,IND,23,22.051,18.5,2024-01-30,Away,BOS
Pascal Siakam,IND,23,22.051,18.5,2024-01-30,Away,BOS
Pascal Siakam,IND,23,22.051,18.5,2024-01-30,Away,BOS
Pascal Siakam,IND,23,22.051,18.5,2024-01-30,Away,BOS
Pascal Siakam,IND,23,22.051,18.5,2024-01-30,Away,BOS
Pascal Siakam,IND,23,22.051,18.5,2024-01-30,Away,BOS
Pascal Siakam,IND,23,22.051,18.5,2024-01-30,Away,BOS
Pascal Siakam,IND,23,22.051,18.5,2024-01-30,Away,BOS
Pascal Siakam,IND,23,22.051,18.5,2024-01-30,Away,BOS
Pascal Siakam,IND,23,22.051,18.5,2024-01-30,Away,BOS
Pascal Siakam,IND,23,22.051,18.5,2024-01-30,Away,BOS
Pascal Siakam,IND,23,22.051,18.5,2024-01-30,Away,BOS
Pascal Siakam,IND,23,22.051,18.5,2024-01-30,Away,BOS
Pascal Siakam,IND,23,22.051,18.5,2024-01-30,Away,BOS
Pascal Siakam,IND,23,22.051,18.5,2024-01-30,Away,BOS
Pascal Siakam,IND,23,22.051,18.5,2024-01-30,Away,BOS
Pascal Siakam,IND,23,22.051,18.5,2024-01-30,Away,BOS
Pascal Siakam,IND,23,22.051,18.5,2024-01-30,Away,BOS
Tyrese Haliburton,IND,19,24.652,24.5,2023-12-20,,CHO
Tyrese Haliburton,IND,17,24.333,24.5,2023-12-21,Away,MEM
Tyrese Haliburton,IND,29,24.52,24.5,2023-12-23,,ORL
Tyrese Haliburton,IND,33,24.846,24.5,2023-12-26,Away,HOU
Tyrese Haliburton,IND,21,24.704,26.5,2023-12-28,Away,CHI
Tyrese Haliburton,IND,22,24.607,25.5,2023-12-30,,NYK
Tyrese Haliburton,IND,26,24.655,25.5,2024-01-01,Away,MIL
Tyrese Haliburton,IND,31,24.867,25.5,2024-01-03,,MIL
Tyrese Haliburton,IND,10,24.387,27.5,2024-01-05,,ATL
Tyrese Haliburton,IND,17,24.156,24.5,2024-01-06,,BOS
Tyrese Haliburton,IND,7,23.636,23.5,2024-01-08,,BOS
Tyrese Haliburton,IND,13,23.257,20.5,2024-01-30,Away,BOS
Bruce Brown,IND,6,11.885,11.5,2023-12-20,,CHO
Bruce Brown,IND,17,11.897,11.5,2024-01-05,,ATL
Bruce Brown,IND,16,11.871,11.5,2024-01-10,,WAS
Bruce Brown,IND,12,11.875,13.5,2024-01-12,Away,ATL
Bruce Brown,IND,18,12.061,10.5,2024-01-14,Away,DEN
Bruce Brown,TOR,19,12.139,12.5,2024-01-30,Away,CHI
Myles Turner,IND,18,16.92,16.5,2023-12-20,,CHO
Myles Turner,IND,18,17.143,15.5,2023-12-26,Away,HOU
Myles Turner,IND,24,17.379,16.5,2023-12-28,Away,CHI
Myles Turner,IND,28,17.733,17.5,2023-12-30,,NYK
Myles Turner,IND,13,17.581,20.5,2024-01-01,Away,MIL
Myles Turner,IND,15,17.5,18.5,2024-01-03,,MIL
Myles Turner,IND,27,17.788,19.5,2024-01-05,,ATL
Myles Turner,IND,12,17.618,17.5,2024-01-06,,BOS
Myles Turner,IND,16,17.571,16.5,2024-01-08,,BOS
Myles Turner,IND,18,17.583,18.5,2024-01-10,,WAS
Myles Turner,IND,12,17.432,19.5,2024-01-12,Away,ATL
Myles Turner,IND,12,17.289,16.5,2024-01-14,Away,DEN
Myles Turner,IND,12,17.154,17.5,2024-01-15,Away,UTA
Myles Turner,IND,22,17.442,15.5,2024-01-23,,DEN
Myles Turner,IND,20,17.5,16.5,2024-01-25,,PHI
Myles Turner,IND,5,17.222,16.5,2024-01-26,,PHO
Myles Turner,IND,17,17.217,14.5,2024-01-30,Away,BOS
Aaron Nesmith,IND,9,12.833,11.5,2024-01-03,,MIL
Aaron Nesmith,IND,15,13.143,11.5,2024-01-05,,ATL
Aaron Nesmith,IND,10,12.7,13.5,2024-01-10,,WAS
Aaron Nesmith,IND,13,12.727,12.5,2024-01-12,Away,ATL
Aaron Nesmith,IND,16,12.467,11.5,2024-01-25,,PHI
Aaron Nesmith,IND,22,13.062,11.5,2024-01-26,,PHO
Aaron Nesmith,IND,16,13.235,12.5,2024-01-28,,MEM
Aaron Nesmith,IND,26,13.944,12.5,2024-01-30,Away,BOS
Buddy Hield,IND,25,14.5,14.5,2023-12-20,,CHO
Buddy Hield,IND,25,14.5,14.5,2023-12-20,,CHO
Buddy Hield,IND,25,14.5,14.5,2023-12-20,,CHO
Buddy Hield,IND,25,14.5,14.5,2023-12-20,,CHO
Buddy Hield,IND,25,14.5,14.5,2023-12-20,,CHO
Buddy Hield,IND,25,14.5,14.5,2023-12-20,,CHO
Buddy Hield,IND,25,14.5,14.5,2023-12-20,,CHO
Buddy Hield,IND,25,14.5,14.5,2023-12-20,,CHO
Buddy Hield,IND,25,14.5,14.5,2023-12-20,,CHO
Buddy Hield,IND,25,14.5,14.5,2023-12-20,,CHO
Buddy Hield,IND,25,14.5,14.5,2023-12-20,,CHO
Buddy Hield,IND,25,14.5,14.5,2023-12-20,,CHO
Buddy Hield,IND,25,14.5,14.5,2023-12-20,,CHO
Buddy Hield,IND,25,14.5,14.5,2023-12-20,,CHO
