Player,team,Rk,G,Date,Age,Tm,Unnamed: 7,Opp,Unnamed: 9,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Points_Running_Avg,Rebounds_Running_Avg,Assists_Running_Avg,Steals_Running_Avg,Blocks_Running_Avg,Points_Diff,Rebounds_Diff,Assists_Diff,Steals_Diff,Blocks_Diff
Damian Lillard,POR,18,,2022-11-23,32-131,POR,@,CLE,L (-18),Did Not Dress,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Damian Lillard,POR,19,,2022-11-25,32-133,POR,@,NYK,W (+3),Did Not Dress,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Damian Lillard,POR,20,,2022-11-27,32-135,POR,@,BRK,L (-14),Did Not Dress,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Damian Lillard,POR,21,,2022-11-29,32-137,POR,,LAC,L (-6),Did Not Play,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Damian Lillard,POR,22,,2022-11-30,32-138,POR,@,LAL,L (-19),Did Not Dress,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Damian Lillard,POR,23,,2022-12-03,32-141,POR,@,UTA,W (+5),Did Not Dress,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Damian Lillard,POR,24,12.0,2022-12-04,32-142,POR,,IND,W (+16),1,32:02,7.0,16.0,0.438,5.0,10.0,0.5,2.0,2.0,1.0,0.0,4.0,4.0,6.0,1.0,1.0,4.0,4.0,21.0,14.1,30.0,14.091,2.318,3.773,0.318,0.182,6.909,1.682,2.227,0.682,0.818
Damian Lillard,POR,25,13.0,2022-12-08,32-146,POR,,DEN,L (-1),1,37:34,12.0,22.0,0.545,9.0,17.0,0.529,7.0,7.0,1.0,1.0,3.0,4.0,12.0,2.0,0.0,1.0,2.0,40.0,39.6,11.0,15.217,2.391,4.13,0.391,0.174,24.783,1.609,7.87,1.609,-0.174
Damian Lillard,POR,26,14.0,2022-12-10,32-148,POR,,MIN,W (+6),1,41:01,9.0,22.0,0.409,3.0,11.0,0.273,15.0,15.0,1.0,0.0,3.0,3.0,8.0,2.0,0.0,5.0,1.0,36.0,27.3,4.0,16.083,2.417,4.292,0.458,0.167,19.917,0.583,3.708,1.542,-0.167
Damian Lillard,POR,27,15.0,2022-12-12,32-150,POR,,MIN,W (+21),1,29:22,13.0,21.0,0.619,11.0,17.0,0.647,1.0,1.0,1.0,0.0,2.0,2.0,3.0,0.0,0.0,4.0,1.0,38.0,26.8,24.0,16.96,2.4,4.24,0.44,0.16,21.04,-0.4,-1.24,-0.44,-0.16
Damian Lillard,POR,28,16.0,2022-12-14,32-152,POR,@,SAS,W (+16),1,36:21,14.0,23.0,0.609,7.0,14.0,0.5,2.0,2.0,1.0,0.0,5.0,5.0,8.0,2.0,0.0,5.0,1.0,37.0,30.2,7.0,17.731,2.5,4.385,0.5,0.154,19.269,2.5,3.615,1.5,-0.154
Damian Lillard,POR,29,17.0,2022-12-16,32-154,POR,@,DAL,L (-20),1,24:21,6.0,14.0,0.429,3.0,8.0,0.375,9.0,10.0,0.9,0.0,1.0,1.0,3.0,0.0,0.0,2.0,2.0,24.0,15.8,-14.0,17.963,2.444,4.333,0.481,0.148,6.037,-1.444,-1.333,-0.481,-0.148
Damian Lillard,POR,30,18.0,2022-12-17,32-155,POR,@,HOU,W (+12),1,32:37,7.0,20.0,0.35,5.0,13.0,0.385,6.0,8.0,0.75,0.0,3.0,3.0,10.0,2.0,0.0,1.0,2.0,25.0,21.1,29.0,18.214,2.464,4.536,0.536,0.143,6.786,0.536,5.464,1.464,-0.143
