team,player_link,Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Position
SAS,/players/c/colliza01.html,6,Zach Collins,26,41,24,24.4,4.5,9.4,.479,0.9,3.2,.277,3.6,6.2,.583,.526,1.9,2.4,.778,1.8,3.7,5.4,3.1,0.5,0.7,2.1,3.3,11.7,C
SAS,/players/b/branhma01.html,7,Malaki Branham,20,48,21,20.2,3.2,7.5,.422,0.9,3.0,.295,2.3,4.5,.509,.482,0.5,0.6,.929,0.3,1.6,2.0,2.2,0.4,0.1,1.1,1.2,7.8,SG
SAS,/players/o/osmande01.html,8,Cedi Osman,28,53,1,18.1,2.7,5.7,.475,1.2,3.2,.380,1.5,2.5,.600,.583,0.6,0.9,.680,0.4,2.2,2.6,1.7,0.5,0.2,0.6,1.5,7.3,SF
TOR,/players/b/barnesc01.html,1,Scottie Barnes,22,53,53,35.2,7.5,15.7,.476,1.8,5.1,.358,5.6,10.6,.533,.534,3.4,4.3,.777,2.3,5.8,8.1,5.9,1.2,1.5,2.6,2.0,20.1,SF
TOR,/players/s/siakapa01.html,2,Pascal Siakam,29,39,39,34.7,8.3,16.0,.522,1.2,3.7,.317,7.2,12.3,.584,.559,4.3,5.7,.758,1.4,4.9,6.3,4.9,0.8,0.3,2.1,2.2,22.2,PF
TOR,/players/b/barrerj01.html,3,RJ Barrett,23,17,17,34.2,8.0,14.6,.548,1.5,3.9,.379,6.5,10.7,.610,.599,3.4,5.1,.655,1.1,5.8,6.9,3.6,0.6,0.4,1.9,2.8,20.8,SG
TOR,/players/a/anunoog01.html,4,OG Anunoby,26,27,27,33.3,5.8,11.9,.489,2.3,6.0,.374,3.6,5.9,.608,.584,1.2,1.7,.717,0.9,3.0,3.9,2.7,1.0,0.5,1.6,2.3,15.1,SF
TOR,/players/q/quickim01.html,5,Immanuel Quickley,24,18,18,32.2,5.7,13.9,.410,2.8,6.3,.439,2.9,7.6,.387,.510,2.6,3.2,.810,0.4,3.5,3.9,5.9,0.7,0.1,1.2,1.8,16.8,SG
TOR,/players/s/schrode01.html,6,Dennis Schröder,30,51,33,30.6,4.8,11.0,.442,1.5,4.3,.350,3.3,6.6,.501,.511,2.5,2.9,.852,0.4,2.3,2.7,6.1,0.9,0.2,1.6,2.1,13.7,PG
TOR,/players/p/poeltja01.html,7,Jakob Poeltl,28,42,42,26.8,4.8,7.0,.688,0.0,0.0,,4.8,7.0,.688,.688,1.2,2.2,.538,2.7,5.8,8.5,2.4,0.7,1.5,1.7,3.0,10.8,C
TOR,/players/t/trentga02.html,8,Gary Trent Jr.,25,48,18,26.3,4.3,10.3,.419,2.4,5.8,.419,1.9,4.5,.419,.537,0.6,0.9,.667,0.3,1.9,2.2,1.5,1.0,0.1,0.7,1.2,11.7,SG
UTA,/players/m/markkla01.html,1,Lauri Markkanen,26,43,43,32.7,8.0,16.0,.501,3.3,8.0,.406,4.8,8.0,.598,.603,4.4,5.0,.884,2.3,6.2,8.5,1.9,0.9,0.5,1.3,2.0,23.7,PF
