Player,team,Rk,G,Date,Age,Tm,Place,Opp,Outcome,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
Dejounte Murray,ATL,54,51.0,2024-02-12,27-146,ATL,,CHI,L (-10),1,33:49,7.0,17.0,0.412,2.0,8.0,0.25,1.0,2.0,0.5,1.0,4.0,5.0,9.0,2.0,0.0,6.0,4.0,17.0,10.1,-5.0
Dejounte Murray,ATL,55,52.0,2024-02-14,27-148,ATL,Away,CHO,L (-23),1,31:39,5.0,15.0,0.333,1.0,7.0,0.143,2.0,3.0,0.667,2.0,5.0,7.0,4.0,1.0,2.0,3.0,2.0,13.0,8.4,-28.0
Jalen Johnson,ATL,3,3.0,2023-10-29,21-315,ATL,Away,MIL,W (+17),1,25:42,6.0,10.0,0.6,2.0,3.0,0.667,0.0,0.0,,1.0,6.0,7.0,1.0,2.0,1.0,2.0,4.0,14.0,11.7,14.0
Jalen Johnson,ATL,4,4.0,2023-10-30,21-316,ATL,,MIN,W (+14),1,33:06,5.0,7.0,0.714,1.0,2.0,0.5,1.0,1.0,1.0,1.0,4.0,5.0,3.0,1.0,1.0,2.0,3.0,12.0,11.6,19.0
Jalen Johnson,ATL,6,6.0,2023-11-04,21-321,ATL,Away,NOP,W (+18),1,35:44,8.0,13.0,0.615,2.0,3.0,0.667,3.0,4.0,0.75,2.0,9.0,11.0,4.0,0.0,0.0,1.0,3.0,21.0,19.4,19.0
Jalen Johnson,ATL,7,7.0,2023-11-06,21-323,ATL,Away,OKC,L (-9),1,33:57,6.0,15.0,0.4,0.0,4.0,0.0,1.0,2.0,0.5,6.0,6.0,12.0,5.0,3.0,1.0,0.0,2.0,13.0,16.9,-16.0
Jalen Johnson,ATL,8,8.0,2023-11-09,21-326,ATL,Away,ORL,W (+1),1,30:47,7.0,9.0,0.778,2.0,4.0,0.5,3.0,4.0,0.75,2.0,7.0,9.0,2.0,0.0,1.0,3.0,4.0,19.0,16.1,15.0
Jalen Johnson,ATL,9,9.0,2023-11-11,21-328,ATL,,MIA,L (-8),1,21:42,4.0,8.0,0.5,1.0,3.0,0.333,0.0,0.0,,0.0,4.0,4.0,2.0,0.0,0.0,3.0,2.0,9.0,3.8,-6.0
Jalen Johnson,ATL,10,10.0,2023-11-14,21-331,ATL,Away,DET,W (+6),1,35:35,6.0,9.0,0.667,2.0,2.0,1.0,2.0,2.0,1.0,1.0,4.0,5.0,1.0,1.0,1.0,2.0,2.0,16.0,13.6,0.0
Jalen Johnson,ATL,11,11.0,2023-11-15,21-332,ATL,,NYK,L (-2),1,31:00,7.0,9.0,0.778,4.0,4.0,1.0,0.0,0.0,,0.0,5.0,5.0,0.0,0.0,2.0,3.0,1.0,18.0,14.0,-13.0
