Player,Tm,PTS,Points_Running_Avg,player_points_line
Terry Rozier,CHO,25.0,23.176,22.5
Terry Rozier,CHO,25.0,21.709,22.5
Terry Rozier,CHO,25.0,21.709,22.5
Terry Rozier,CHO,18.0,22.889,23.5
Terry Rozier,CHO,18.0,22.889,23.5
Terry Rozier,CHO,18.0,21.643,23.5
Terry Rozier,CHO,18.0,21.643,23.5
Terry Rozier,CHO,18.0,22.632,24.5
Terry Rozier,CHO,18.0,22.632,24.5
Terry Rozier,CHO,18.0,21.579,24.5
Terry Rozier,CHO,18.0,21.579,24.5
Terry Rozier,CHO,15.0,23.682,23.5
Terry Rozier,CHO,15.0,23.682,23.5
Terry Rozier,CHO,15.0,22.017,23.5
Terry Rozier,CHO,15.0,22.017,23.5
Terry Rozier,CHO,39.0,24.348,24.5
Terry Rozier,CHO,39.0,24.348,24.5
Terry Rozier,CHO,39.0,22.295,24.5
Terry Rozier,CHO,39.0,22.295,24.5
Terry Rozier,CHO,22.0,24.25,26.5
Terry Rozier,CHO,22.0,24.25,26.5
Terry Rozier,CHO,22.0,22.29,26.5
Terry Rozier,CHO,22.0,22.29,26.5
Terry Rozier,CHO,26.0,24.0,27.5
Terry Rozier,CHO,26.0,24.0,27.5
Terry Rozier,CHO,26.0,22.25,27.5
Terry Rozier,CHO,26.0,22.25,27.5
Terry Rozier,CHO,25.0,24.037,20.5
Terry Rozier,CHO,25.0,24.037,20.5
Terry Rozier,CHO,25.0,22.292,20.5
Terry Rozier,CHO,25.0,22.292,20.5
Terry Rozier,CHO,17.0,23.786,24.5
Terry Rozier,CHO,17.0,23.786,24.5
Terry Rozier,CHO,17.0,22.212,24.5
Terry Rozier,CHO,17.0,22.212,24.5
Terry Rozier,CHO,19.0,23.621,20.5
Terry Rozier,CHO,19.0,23.621,20.5
Terry Rozier,CHO,19.0,22.164,20.5
Terry Rozier,CHO,19.0,22.164,20.5
Terry Rozier,MIA,21.0,22.242,16.5
Terry Rozier,MIA,21.0,22.242,16.5
Terry Rozier,MIA,21.0,21.606,16.5
Terry Rozier,MIA,21.0,21.606,16.5
LaMelo Ball,CHO,21.0,24.647,28.5
LaMelo Ball,CHO,29.0,24.889,22.5
LaMelo Ball,CHO,28.0,25.053,25.5
LaMelo Ball,CHO,18.0,24.7,21.5
LaMelo Ball,CHO,17.0,24.333,27.5
LaMelo Ball,CHO,15.0,23.909,26.5
Grant Williams,DAL,9.0,9.583,9.5
Grant Williams,DAL,9.0,9.583,9.5
Grant Williams,DAL,9.0,9.351,9.5
Grant Williams,DAL,9.0,9.351,9.5
Gordon Hayward,CHO,11.0,15.043,16.5
Gordon Hayward,CHO,8.0,14.75,14.5
Brandon Miller,CHO,21.0,14.944,16.5
Brandon Miller,CHO,4.0,14.368,17.5
Brandon Miller,CHO,15.0,14.773,15.5
Brandon Miller,CHO,23.0,14.321,13.5
Brandon Miller,CHO,23.0,15.033,
Brandon Miller,CHO,5.0,14.71,17.5
Brandon Miller,CHO,12.0,14.625,16.5
Donovan Mitchell,CLE,34.0,28.0,29.5
Donovan Mitchell,CLE,26.0,27.917,29.5
Donovan Mitchell,CLE,22.0,27.68,30.5
Donovan Mitchell,CLE,26.0,27.615,29.5
Donovan Mitchell,CLE,17.0,27.222,28.5
Donovan Mitchell,CLE,45.0,27.857,26.5
Donovan Mitchell,CLE,34.0,28.069,31.5
Donovan Mitchell,CLE,31.0,28.167,33.5
Donovan Mitchell,CLE,25.0,27.75,31.5
Donovan Mitchell,CLE,23.0,27.606,31.5
Donovan Mitchell,CLE,32.0,27.735,30.5
Donovan Mitchell,CLE,28.0,27.743,29.5
Max Strus,CLE,18.0,13.893,15.5
Max Strus,CLE,26.0,14.267,19.5
Max Strus,CLE,6.0,13.758,16.5
Max Strus,CLE,24.0,14.059,15.5
Max Strus,CLE,9.0,13.914,15.5
Max Strus,CLE,8.0,13.75,14.5
Max Strus,CLE,0.0,13.378,13.5
Max Strus,CLE,10.0,12.829,12.5
Max Strus,CLE,14.0,12.857,11.5
Max Strus,CLE,11.0,12.814,11.5
Max Strus,CLE,14.0,12.841,11.5
