Date,Player,player_assists_line,player_assists_over,player_assists_under,player_points_line,player_points_over,player_points_under,player_rebounds_line,player_rebounds_over,player_rebounds_under
2023-12-21,Tyrese Haliburton,11.5,1.71,2.1,24.5,1.8,1.95,3.5,1.74,2.05
2023-12-21,Jaren Jackson Jr.,,,,22.5,1.91,1.83,6.5,1.95,1.8
2023-12-27,Giannis Antetokounmpo,5.5,1.67,2.2,31.5,1.71,2.1,11.5,1.8,1.95
2023-12-27,Mikal Bridges,3.5,1.83,1.91,22.5,1.95,1.8,4.5,1.77,2.0
2023-12-27,Spencer Dinwiddie,6.5,1.69,2.14,14.5,1.87,1.87,3.5,1.77,2.0
2024-01-03,Immanuel Quickley,3.5,2.3,1.6,15.5,1.91,1.83,3.5,2.0,1.77
2024-01-03,Ja Morant,8.5,2.14,1.69,25.5,1.91,1.83,5.5,1.69,2.14
2024-01-03,Jakob Poeltl,2.5,2.1,1.71,9.5,2.0,1.77,9.5,1.83,1.91
2024-01-03,Pascal Siakam,4.5,2.0,1.77,23.5,1.83,1.91,6.5,1.83,1.91
2024-01-03,RJ Barrett,2.5,2.1,1.71,15.5,1.83,1.91,4.5,1.74,2.05
2024-01-03,Scottie Barnes,5.5,2.05,1.74,20.5,1.95,1.8,9.5,2.05,1.74
2024-01-10,Devin Vassell,3.5,2.05,1.74,22.5,1.83,1.91,3.5,1.67,2.2
2024-01-10,Jeremy Sochan,3.5,1.62,2.24,11.5,1.77,2.0,5.5,1.74,2.05
2024-01-10,Tre Jones,7.5,1.95,1.8,13.5,1.91,1.83,3.5,1.71,2.05
2024-01-10,Victor Wembanyama,2.5,1.67,2.2,21.5,1.74,2.05,9.5,1.8,1.95
2024-01-22,Devin Vassell,3.5,1.95,1.8,16.5,1.87,1.87,3.5,1.95,1.8
2024-01-22,Jeremy Sochan,3.5,1.83,1.91,11.5,1.95,1.8,5.5,1.8,1.95
2024-01-22,Joel Embiid,5.5,1.91,1.83,34.5,1.87,1.87,12.5,1.74,2.05
2024-01-22,Nicolas Batum,2.5,1.83,1.91,,,,4.5,2.0,1.77
2024-01-22,Tobias Harris,3.5,1.62,2.24,16.5,1.83,1.91,6.5,2.14,1.69
2024-01-22,Tre Jones,6.5,1.69,2.14,10.5,1.91,1.83,3.5,1.95,1.8
2024-01-22,Tyrese Maxey,6.5,1.74,2.05,26.5,1.83,1.91,3.5,1.87,1.87
2024-01-22,Victor Wembanyama,2.5,1.67,2.2,21.5,1.8,1.95,9.5,1.91,1.83
2024-01-22,Julian Champagnie,,,,7.5,1.83,1.91,2.5,1.69,2.14
2024-01-05,De'Aaron Fox,6.5,2.2,1.67,29.5,1.77,2.0,4.5,2.0,1.77
2024-01-05,Domantas Sabonis,7.5,2.14,1.69,21.5,1.83,1.91,13.5,1.87,1.87
2024-01-05,Immanuel Quickley,3.5,1.95,1.8,17.5,1.87,1.87,3.5,2.14,1.69
2024-01-05,Jakob Poeltl,2.5,2.0,1.77,10.5,2.05,1.74,9.5,1.95,1.8
2024-01-05,Pascal Siakam,4.5,2.1,1.71,24.5,1.8,1.95,6.5,1.74,2.05
2024-01-05,RJ Barrett,2.5,1.83,1.91,16.5,1.83,1.91,4.5,1.74,2.05
2024-01-05,Scottie Barnes,5.5,1.71,2.1,20.5,1.87,1.87,8.5,1.67,2.2
2024-01-05,Harrison Barnes,,,,9.5,1.91,1.83,2.5,1.67,2.2
2024-01-05,Keegan Murray,,,,15.5,1.91,1.83,5.5,1.83,1.91
2023-12-29,Franz Wagner,4.5,1.71,2.1,23.5,1.83,1.91,5.5,1.95,1.8
2023-12-29,Jalen Brunson,6.5,2.2,1.67,26.5,1.77,2.0,3.5,1.53,2.45
2023-12-29,Jalen Suggs,2.5,1.8,1.95,12.5,1.8,1.95,3.5,1.91,1.83
2023-12-29,Julius Randle,3.5,1.74,2.05,24.5,1.71,2.1,9.5,1.8,1.95
2023-12-29,Paolo Banchero,4.5,1.83,1.91,23.5,1.8,1.95,7.5,2.05,1.74
2023-12-29,RJ Barrett,2.5,2.4,1.56,16.5,1.8,1.95,4.5,2.14,1.69
2023-12-29,Donte DiVincenzo,,,,9.5,2.05,1.74,2.5,1.91,1.83
2023-12-29,Isaiah Hartenstein,,,,7.5,1.83,1.91,9.5,1.91,1.83
2023-12-28,Bam Adebayo,4.5,2.0,1.77,22.5,1.8,1.95,9.5,1.71,2.1
2023-12-28,Stephen Curry,4.5,1.6,2.3,27.5,1.77,2.0,4.5,2.1,1.71
2023-12-28,Tyler Herro,4.5,1.91,1.83,24.5,1.8,1.95,4.5,1.74,2.05
2023-12-28,Jonathan Kuminga,,,,12.5,1.91,1.83,4.5,2.24,1.62
2023-12-28,Klay Thompson,,,,18.5,1.87,1.87,3.5,1.87,1.87
2024-01-24,Damian Lillard,7.5,2.14,1.69,25.5,1.8,1.95,,,
2024-01-24,Giannis Antetokounmpo,6.5,1.83,1.91,32.5,1.8,1.95,,,
2024-01-24,Jarrett Allen,3.5,2.3,1.6,14.5,1.8,1.95,11.5,1.91,1.83
2024-01-24,Khris Middleton,5.5,1.62,2.24,15.5,1.87,1.87,4.5,2.0,1.77
2024-01-24,Max Strus,3.5,1.87,1.87,11.5,1.8,1.95,3.5,1.69,2.14
2024-01-24,Brook Lopez,,,,12.5,2.0,1.77,5.5,1.67,2.2
2024-01-24,Donovan Mitchell,,,,31.5,1.8,1.95,4.5,1.69,2.14
2024-01-24,Malik Beasley,,,,10.5,1.91,1.83,3.5,1.74,2.05
2024-01-24,Dean Wade,,,,,,,4.5,1.87,1.87
2024-01-24,Isaac Okoro,,,,,,,2.5,1.62,2.24
2024-01-27,Anthony Davis,3.5,1.8,1.95,25.5,1.8,1.95,11.5,1.77,2.0
2024-01-27,Austin Reaves,5.5,2.14,1.69,14.5,1.83,1.91,2.5,1.71,2.1
2024-01-27,D'Angelo Russell,6.5,2.1,1.71,18.5,1.95,1.8,2.5,2.24,1.62
2024-01-27,Klay Thompson,2.5,2.35,1.57,18.5,1.8,1.95,3.5,2.14,1.69
2024-01-27,LeBron James,7.5,1.91,1.83,24.5,1.87,1.87,6.5,1.95,1.8
2024-01-27,Stephen Curry,5.5,1.69,2.14,27.5,1.74,2.05,3.5,1.6,2.3
2024-01-27,Andrew Wiggins,,,,14.5,1.87,1.87,4.5,1.83,1.91
2024-01-27,Taurean Prince,,,,9.5,1.95,1.8,2.5,1.95,1.8
2024-01-27,Kevon Looney,,,,,,,6.5,2.05,1.74
2024-01-10,Brandon Ingram,6.5,2.2,1.67,22.5,1.77,2.0,4.5,1.83,1.91
2024-01-10,CJ McCollum,4.5,1.6,2.3,21.5,1.87,1.87,3.5,1.67,2.2
2024-01-10,Herbert Jones,2.5,2.3,1.6,10.5,1.77,2.0,3.5,1.74,2.05
2024-01-10,Klay Thompson,2.5,2.35,1.57,18.5,1.8,1.95,3.5,2.05,1.77
2024-01-10,Stephen Curry,6.5,1.95,1.8,28.5,1.77,2.0,3.5,1.67,2.2
2023-12-23,Dennis Schroder,6.5,1.69,2.14,13.5,1.87,1.87,2.5,2.05,1.74
2023-12-23,Jakob Poeltl,2.5,2.2,1.67,10.5,2.0,1.77,8.5,2.1,1.71
2023-12-23,OG Anunoby,2.5,1.77,2.0,13.5,1.8,1.95,4.5,2.24,1.62
2023-12-23,Pascal Siakam,4.5,1.87,1.87,22.5,1.67,2.2,6.5,2.0,1.77
2023-12-23,Scottie Barnes,5.5,1.74,2.05,21.5,1.95,1.8,8.5,1.74,2.05
2024-01-02,Domantas Sabonis,7.5,1.83,1.94,21.5,1.94,1.83,12.5,1.72,2.08
2024-01-02,De'Aaron Fox,5.5,1.85,1.93,29.5,1.82,1.96,4.5,2.0,1.78
2024-01-02,Harrison Barnes,,,,10.5,2.02,1.77,2.5,1.62,2.26
2024-01-02,Keegan Murray,,,,15.5,1.9,1.87,4.5,1.82,1.96
2024-01-20,Deni Avdija,3.5,1.62,2.24,13.5,1.8,1.95,6.5,1.91,1.83
2024-01-20,Devin Vassell,3.5,1.71,2.1,19.5,2.0,1.77,3.5,1.62,2.24
2024-01-20,Jeremy Sochan,3.5,1.71,2.1,12.5,1.8,1.95,6.5,1.8,1.95
2024-01-20,Jordan Poole,3.5,1.77,2.0,20.5,1.83,1.91,2.5,1.67,2.2
2024-01-20,Kyle Kuzma,4.5,1.91,1.83,21.5,1.83,1.91,7.5,1.77,2.0
2024-01-20,Tre Jones,6.5,1.71,2.1,12.5,2.0,1.77,3.5,1.77,2.0
2024-01-20,Tyus Jones,6.5,1.83,1.91,12.5,1.8,1.95,3.5,2.05,1.74
2024-01-20,Victor Wembanyama,2.5,1.56,2.4,21.5,1.74,2.05,10.5,1.8,1.95
2024-01-20,Julian Champagnie,,,,8.5,1.91,1.83,3.5,2.3,1.6
2024-01-19,Bam Adebayo,4.5,1.87,1.87,22.5,1.8,1.95,11.5,1.95,1.8
2024-01-19,Jimmy Butler,5.5,2.24,1.62,23.5,1.95,1.8,5.5,2.14,1.69
2024-01-19,Kyle Lowry,3.5,1.8,1.95,6.5,1.91,1.83,2.5,1.62,2.24
