Date,Player,player_assists_line,player_assists_over,player_assists_under,player_points_line,player_points_over,player_points_under,player_rebounds_line,player_rebounds_over,player_rebounds_under
2023-12-23,Tyrese Haliburton,11.5,1.87,1.87,24.5,1.8,1.95,3.5,1.69,2.14
2023-12-26,Kawhi Leonard,3.5,1.91,1.83,26.5,1.8,1.95,6.5,1.8,1.95
2023-12-26,Terry Rozier,6.5,1.8,1.95,23.5,1.91,1.83,3.5,1.95,1.8
2023-12-26,Ivica Zubac,,,,12.5,1.95,1.8,9.5,1.71,2.1
2023-12-19,Brandon Ingram,5.5,1.91,1.83,22.5,1.95,1.8,4.5,1.71,2.1
2023-12-19,CJ McCollum,5.5,2.05,1.74,18.5,1.87,1.87,3.5,1.69,2.14
2023-12-19,Herbert Jones,2.5,2.2,1.67,9.5,1.87,1.87,3.5,1.69,2.14
2023-12-19,Ja Morant,7.5,2.1,1.71,23.5,1.8,1.95,4.5,1.77,2.0
2023-12-19,Jonas Valanciunas,2.5,2.14,1.69,14.5,1.91,1.83,11.5,1.87,1.87
2023-12-19,Zion Williamson,4.5,1.91,1.83,22.5,1.95,1.8,6.5,1.71,2.1
2023-12-28,Alex Caruso,3.5,2.1,1.71,12.5,1.83,1.91,3.5,1.71,2.1
2023-12-28,Coby White,5.5,1.71,2.1,24.5,1.8,1.95,5.5,2.14,1.69
2023-12-28,DeMar DeRozan,6.5,1.87,1.87,26.5,1.77,2.0,4.5,1.71,2.1
2023-12-28,Tyrese Haliburton,11.5,1.69,2.14,26.5,1.87,1.87,4.5,2.3,1.6
2023-12-28,Myles Turner,,,,16.5,1.71,2.1,7.5,1.8,1.95
2023-12-28,Patrick Williams,,,,14.5,1.87,1.87,5.5,2.14,1.69
2023-12-31,Devin Booker,7.5,1.91,1.83,26.5,1.87,1.87,4.5,1.91,1.83
2023-12-31,Franz Wagner,4.5,1.91,1.83,22.5,1.95,1.8,5.5,1.91,1.83
2023-12-31,Jusuf Nurkic,2.5,1.69,2.14,12.5,1.69,2.14,10.5,1.69,2.14
2023-12-31,Kevin Durant,6.5,1.91,1.83,25.5,1.74,2.05,6.5,1.91,1.83
2023-12-31,Paolo Banchero,4.5,2.1,1.71,23.5,1.8,1.95,7.5,2.2,1.67
2023-12-22,Dennis Schroder,6.5,1.91,1.83,12.5,1.91,1.83,2.5,2.2,1.67
2023-12-22,Jakob Poeltl,2.5,2.35,1.57,8.5,1.8,1.95,7.5,1.91,1.83
2023-12-22,Joel Embiid,5.5,1.95,1.8,35.5,1.74,2.05,11.5,1.74,2.05
2023-12-22,OG Anunoby,2.5,1.95,1.8,12.5,1.83,1.91,3.5,1.74,2.05
2023-12-22,Pascal Siakam,4.5,2.05,1.74,21.5,1.74,2.05,6.5,1.8,1.95
2023-12-22,Scottie Barnes,5.5,2.05,1.74,21.5,1.95,1.8,7.5,1.62,2.24
2023-12-22,Tobias Harris,2.5,1.91,1.83,13.5,2.0,1.77,5.5,1.87,1.87
2023-12-22,Tyrese Maxey,6.5,1.8,1.95,26.5,1.91,1.83,3.5,2.1,1.71
2023-12-23,Alex Caruso,2.5,1.74,2.05,8.5,1.87,1.87,2.5,1.57,2.35
